
# Surface 0 of 1 surfaces

# Curve title: ""main_contourtmp0.dat""

# Contour 0, label:        4
-1 -0.82258  4 
-0.990475 -0.833334  4 
-0.916667 -0.911615  4 
-0.911615 -0.916667  4 
-0.833334 -0.990475  4 
-0.82258 -1  4 


# Contour 1, label:      3.7
-1 -0.703449  3.7 
-0.961427 -0.750001  3.7 
-0.916667 -0.800537  3.7 
-0.885858 -0.833334  3.7 
-0.833334 -0.885858  3.7 
-0.800537 -0.916667  3.7 
-0.750001 -0.961427  3.7 
-0.703449 -1  3.7 


# Contour 2, label:      3.5
-1 -0.617284  3.5 
-0.961905 -0.666668  3.5 
-0.916667 -0.721264  3.5 
-0.891413 -0.750001  3.5 
-0.833334 -0.811827  3.5 
-0.811827 -0.833334  3.5 
-0.750001 -0.891413  3.5 
-0.721264 -0.916667  3.5 
-0.666668 -0.961905  3.5 
-0.617284 -1  3.5 


# Contour 3, label:      3.2
-1 -0.473913  3.2 
-0.982856 -0.500001  3.2 
-0.923333 -0.583334  3.2 
-0.916667 -0.591975  3.2 
-0.855555 -0.666668  3.2 
-0.833334 -0.691953  3.2 
-0.779031 -0.750001  3.2 
-0.750001 -0.779031  3.2 
-0.691953 -0.833334  3.2 
-0.666668 -0.855555  3.2 
-0.591975 -0.916667  3.2 
-0.583334 -0.923333  3.2 
-0.500001 -0.982856  3.2 
-0.473913 -1  3.2 


# Contour 4, label:      2.9
-1 -0.305263  2.9 
-0.984761 -0.333335  2.9 
-0.934761 -0.416668  2.9 
-0.916667 -0.444202  2.9 
-0.877776 -0.500001  2.9 
-0.833334 -0.558666  2.9 
-0.81344 -0.583334  2.9 
-0.750001 -0.656172  2.9 
-0.740229 -0.666668  2.9 
-0.666668 -0.740229  2.9 
-0.656172 -0.750001  2.9 
-0.583334 -0.81344  2.9 
-0.558666 -0.833334  2.9 
-0.500001 -0.877776  2.9 
-0.444202 -0.916667  2.9 
-0.416668 -0.934761  2.9 
-0.333335 -0.984761  2.9 
-0.305263 -1  2.9 


# Contour 5, label:      2.6
-1 -0.0911112  2.6 
-0.967618 -0.166669  2.6 
-0.927142 -0.250002  2.6 
-0.916667 -0.269297  2.6 
-0.879797 -0.333335  2.6 
-0.833334 -0.406348  2.6 
-0.826343 -0.416668  2.6 
-0.764515 -0.500001  2.6 
-0.750001 -0.517999  2.6 
-0.693678 -0.583334  2.6 
-0.666668 -0.612346  2.6 
-0.612346 -0.666668  2.6 
-0.583334 -0.693678  2.6 
-0.517999 -0.750001  2.6 
-0.500001 -0.764515  2.6 
-0.416668 -0.826343  2.6 
-0.406348 -0.833334  2.6 
-0.333335 -0.879797  2.6 
-0.269297 -0.916667  2.6 
-0.250002 -0.927142  2.6 
-0.166669 -0.967618  2.6 
-0.0911112 -1  2.6 


# Contour 6, label:      2.3
 0.999994 -0.93143  2.3 
 0.916661 -0.957621  2.3 
 0.833328 -0.979049  2.3 
 0.749995 -0.995715  2.3 
 0.72 -1  2.3 

# Contour 7, label: 
-1  0.28  2.3 
-0.995714  0.249997  2.3 
-0.979047  0.166663  2.3 
-0.957618  0.0833302  2.3 
-0.931427 -2.9e-06  2.3 
-0.916667 -0.0397424  2.3 
-0.899494 -0.083336  2.3 
-0.861615 -0.166669  2.3 
-0.833334 -0.221567  2.3 
-0.81774 -0.250002  2.3 
-0.766665 -0.333335  2.3 
-0.750001 -0.357935  2.3 
-0.70747 -0.416668  2.3 
-0.666668 -0.468116  2.3 
-0.639505 -0.500001  2.3 
-0.583334 -0.560666  2.3 
-0.560666 -0.583334  2.3 
-0.500001 -0.639505  2.3 
-0.468116 -0.666668  2.3 
-0.416668 -0.70747  2.3 
-0.357935 -0.750001  2.3 
-0.333335 -0.766665  2.3 
-0.250002 -0.81774  2.3 
-0.221567 -0.833334  2.3 
-0.166669 -0.861615  2.3 
-0.083336 -0.899494  2.3 
-0.0397424 -0.916667  2.3 
-2.9e-06 -0.931427  2.3 
 0.0833302 -0.957618  2.3 
 0.166663 -0.979047  2.3 
 0.249997 -0.995714  2.3 
 0.28 -1  2.3 

# Contour 8, label: 
-0.93143  0.999994  2.3 
-0.957621  0.916661  2.3 
-0.979049  0.833328  2.3 
-0.995715  0.749995  2.3 
-1  0.72  2.3 


# Contour 9, label:        2
-0.822582  0.999994  2 
-0.833334  0.969695  2 
-0.851011  0.916661  2 
-0.873738  0.833328  2 
-0.891415  0.749995  2 
-0.904041  0.666662  2 
-0.911616  0.583329  2 
-0.914141  0.499996  2 
-0.911616  0.416663  2 
-0.90404  0.33333  2 
-0.891413  0.249997  2 
-0.873736  0.166663  2 
-0.851009  0.0833302  2 
-0.833334  0.0303057  2 
-0.822579 -2.9e-06  2 
-0.787633 -0.083336  2 
-0.750001 -0.161108  2 
-0.747125 -0.166669  2 
-0.698275 -0.250002  2 
-0.666668 -0.298245  2 
-0.641975 -0.333335  2 
-0.583334 -0.408729  2 
-0.576665 -0.416668  2 
-0.500001 -0.499998  2 
-0.416668 -0.576665  2 
-0.408729 -0.583334  2 
-0.333335 -0.641975  2 
-0.298245 -0.666668  2 
-0.250002 -0.698275  2 
-0.166669 -0.747125  2 
-0.161108 -0.750001  2 
-0.083336 -0.787633  2 
-2.9e-06 -0.822579  2 
 0.0303057 -0.833334  2 
 0.0833302 -0.851009  2 
 0.166663 -0.873736  2 
 0.249997 -0.891413  2 
 0.33333 -0.90404  2 
 0.416663 -0.911616  2 
 0.499996 -0.914141  2 
 0.583329 -0.911616  2 
 0.666662 -0.904041  2 
 0.749995 -0.891415  2 
 0.833328 -0.873738  2 
 0.916661 -0.851011  2 
 0.969695 -0.833334  2 
 0.999994 -0.822582  2 


# Contour 10, label:      1.7
-0.703451  0.999994  1.7 
-0.735059  0.916661  1.7 
-0.750001  0.868514  1.7 
-0.760216  0.833328  1.7 
-0.779033  0.749995  1.7 
-0.792473  0.666662  1.7 
-0.800538  0.583329  1.7 
-0.803225  0.499996  1.7 
-0.800537  0.416663  1.7 
-0.792472  0.33333  1.7 
-0.779031  0.249997  1.7 
-0.760214  0.166663  1.7 
-0.750001  0.131485  1.7 
-0.735056  0.0833302  1.7 
-0.703447 -2.9e-06  1.7 
-0.666668 -0.0820507  1.7 
-0.666049 -0.083336  1.7 
-0.619752 -0.166669  1.7 
-0.583334 -0.224508  1.7 
-0.565999 -0.250002  1.7 
-0.502665 -0.333335  1.7 
-0.500001 -0.336506  1.7 
-0.42681 -0.416668  1.7 
-0.416668 -0.42681  1.7 
-0.336506 -0.500001  1.7 
-0.333335 -0.502665  1.7 
-0.250002 -0.565999  1.7 
-0.224508 -0.583334  1.7 
-0.166669 -0.619752  1.7 
-0.083336 -0.666049  1.7 
-0.0820507 -0.666668  1.7 
-2.9e-06 -0.703447  1.7 
 0.0833302 -0.735056  1.7 
 0.131485 -0.750001  1.7 
 0.166663 -0.760214  1.7 
 0.249997 -0.779031  1.7 
 0.33333 -0.792472  1.7 
 0.416663 -0.800537  1.7 
 0.499996 -0.803225  1.7 
 0.583329 -0.800538  1.7 
 0.666662 -0.792473  1.7 
 0.749995 -0.779033  1.7 
 0.833328 -0.760216  1.7 
 0.868514 -0.750001  1.7 
 0.916661 -0.735059  1.7 
 0.999994 -0.703451  1.7 


# Contour 11, label:      1.5
-0.617287  0.999994  1.5 
-0.651237  0.916661  1.5 
-0.666668  0.87037  1.5 
-0.678163  0.833328  1.5 
-0.698277  0.749995  1.5 
-0.712644  0.666662  1.5 
-0.721265  0.583329  1.5 
-0.724138  0.499996  1.5 
-0.721264  0.416663  1.5 
-0.712643  0.33333  1.5 
-0.698275  0.249997  1.5 
-0.678161  0.166663  1.5 
-0.666668  0.12963  1.5 
-0.651234  0.0833302  1.5 
-0.617283 -2.9e-06  1.5 
-0.583334 -0.0705109  1.5 
-0.576665 -0.083336  1.5 
-0.526665 -0.166669  1.5 
-0.500001 -0.20588  1.5 
-0.46739 -0.250002  1.5 
-0.416668 -0.311402  1.5 
-0.396824 -0.333335  1.5 
-0.333335 -0.396824  1.5 
-0.311402 -0.416668  1.5 
-0.250002 -0.46739  1.5 
-0.20588 -0.500001  1.5 
-0.166669 -0.526665  1.5 
-0.083336 -0.576665  1.5 
-0.0705109 -0.583334  1.5 
-2.9e-06 -0.617283  1.5 
 0.0833302 -0.651234  1.5 
 0.12963 -0.666668  1.5 
 0.166663 -0.678161  1.5 
 0.249997 -0.698275  1.5 
 0.33333 -0.712643  1.5 
 0.416663 -0.721264  1.5 
 0.499996 -0.724138  1.5 
 0.583329 -0.721265  1.5 
 0.666662 -0.712644  1.5 
 0.749995 -0.698277  1.5 
 0.833328 -0.678163  1.5 
 0.87037 -0.666668  1.5 
 0.916661 -0.651237  1.5 
 0.999994 -0.617287  1.5 


# Contour 12, label:      1.2
-0.473916  0.999994  1.2 
-0.500001  0.945451  1.2 
-0.512669  0.916661  1.2 
-0.542668  0.833328  1.2 
-0.566001  0.749995  1.2 
-0.582668  0.666662  1.2 
-0.583334  0.661105  1.2 
-0.591976  0.583329  1.2 
-0.595062  0.499996  1.2 
-0.591975  0.416663  1.2 
-0.583334  0.338897  1.2 
-0.582666  0.33333  1.2 
-0.565999  0.249996  1.2 
-0.542666  0.166663  1.2 
-0.512665  0.0833302  1.2 
-0.500001  0.0545487  1.2 
-0.473911 -2.9e-06  1.2 
-0.42681 -0.083336  1.2 
-0.416668 -0.0988865  1.2 
-0.368252 -0.166669  1.2 
-0.333335 -0.209802  1.2 
-0.297366 -0.250002  1.2 
-0.250002 -0.297366  1.2 
-0.209802 -0.333335  1.2 
-0.166669 -0.368252  1.2 
-0.0988865 -0.416668  1.2 
-0.083336 -0.42681  1.2 
-2.9e-06 -0.473911  1.2 
 0.0545487 -0.500001  1.2 
 0.0833302 -0.512665  1.2 
 0.166663 -0.542666  1.2 
 0.249997 -0.565999  1.2 
 0.33333 -0.582666  1.2 
 0.338897 -0.583334  1.2 
 0.416663 -0.591975  1.2 
 0.499996 -0.595062  1.2 
 0.583329 -0.591976  1.2 
 0.661105 -0.583334  1.2 
 0.666662 -0.582668  1.2 
 0.749995 -0.566001  1.2 
 0.833328 -0.542668  1.2 
 0.916661 -0.512669  1.2 
 0.945451 -0.500001  1.2 
 0.999994 -0.473916  1.2 


# Contour 13, label:      0.9
-0.305267  0.999994  0.9 
-0.333335  0.951512  0.9 
-0.35159  0.916661  0.9 
-0.387304  0.833328  0.9 
-0.415081  0.749995  0.9 
-0.416668  0.743327  0.9 
-0.433334  0.666662  0.9 
-0.444203  0.583329  0.9 
-0.447826  0.499996  0.9 
-0.444203  0.416663  0.9 
-0.433333  0.33333  0.9 
-0.416668  0.256675  0.9 
-0.415078  0.249997  0.9 
-0.3873  0.166663  0.9 
-0.351586  0.0833302  0.9 
-0.333335  0.0484883  0.9 
-0.305261 -2.9e-06  0.9 
-0.250002 -0.0807661  0.9 
-0.248037 -0.083336  0.9 
-0.174508 -0.166669  0.9 
